,"Bibile, Monaragala",01/01/2019,02/01/2019
1.92E-05,"Bibile, Monaragala",02/01/2019,03/01/2019
2.81E-05,"Bibile, Monaragala",03/01/2019,04/01/2019
3.75E-05,"Bibile, Monaragala",04/01/2019,05/01/2019
-1.80E-05,"Bibile, Monaragala",05/01/2019,06/01/2019
0.000145784,"Bibile, Monaragala",06/01/2019,07/01/2019
2.83E-05,"Bibile, Monaragala",07/01/2019,08/01/2019
,"Bibile, Monaragala",08/01/2019,09/01/2019
0.000142085,"Bibile, Monaragala",09/01/2019,10/01/2019
,"Bibile, Monaragala",10/01/2019,11/01/2019
2.01E-05,"Bibile, Monaragala",11/01/2019,12/01/2019
0.000158279,"Bibile, Monaragala",12/01/2019,13/01/2019
,"Bibile, Monaragala",13/01/2019,14/01/2019
,"Bibile, Monaragala",14/01/2019,15/01/2019
9.95E-05,"Bibile, Monaragala",15/01/2019,16/01/2019
7.48E-05,"Bibile, Monaragala",16/01/2019,17/01/2019
7.74E-05,"Bibile, Monaragala",17/01/2019,18/01/2019
,"Bibile, Monaragala",18/01/2019,19/01/2019
3.99E-05,"Bibile, Monaragala",19/01/2019,20/01/2019
0.000189162,"Bibile, Monaragala",20/01/2019,21/01/2019
0.000115997,"Bibile, Monaragala",21/01/2019,22/01/2019
0.000141352,"Bibile, Monaragala",22/01/2019,23/01/2019
7.17E-05,"Bibile, Monaragala",23/01/2019,24/01/2019
,"Bibile, Monaragala",24/01/2019,25/01/2019
-2.86E-05,"Bibile, Monaragala",25/01/2019,26/01/2019
,"Bibile, Monaragala",26/01/2019,27/01/2019
0.000180567,"Bibile, Monaragala",27/01/2019,28/01/2019
9.11E-05,"Bibile, Monaragala",28/01/2019,29/01/2019
7.24E-05,"Bibile, Monaragala",29/01/2019,30/01/2019
,"Bibile, Monaragala",30/01/2019,31/01/2019
4.10E-05,"Bibile, Monaragala",31/01/2019,01/02/2019
5.19E-05,"Bibile, Monaragala",01/02/2019,02/02/2019
,"Bibile, Monaragala",02/02/2019,03/02/2019
,"Bibile, Monaragala",03/02/2019,04/02/2019
,"Bibile, Monaragala",04/02/2019,05/02/2019
,"Bibile, Monaragala",05/02/2019,06/02/2019
1.05E-05,"Bibile, Monaragala",06/02/2019,07/02/2019
4.08E-05,"Bibile, Monaragala",07/02/2019,08/02/2019
7.59E-05,"Bibile, Monaragala",08/02/2019,09/02/2019
,"Bibile, Monaragala",09/02/2019,10/02/2019
7.35E-05,"Bibile, Monaragala",10/02/2019,11/02/2019
1.06E-05,"Bibile, Monaragala",11/02/2019,12/02/2019
6.92E-05,"Bibile, Monaragala",12/02/2019,13/02/2019
,"Bibile, Monaragala",13/02/2019,14/02/2019
,"Bibile, Monaragala",14/02/2019,15/02/2019
0.000162348,"Bibile, Monaragala",15/02/2019,16/02/2019
2.66E-05,"Bibile, Monaragala",16/02/2019,17/02/2019
0.000136241,"Bibile, Monaragala",17/02/2019,18/02/2019
5.90E-05,"Bibile, Monaragala",18/02/2019,19/02/2019
7.99E-05,"Bibile, Monaragala",19/02/2019,20/02/2019
8.65E-05,"Bibile, Monaragala",20/02/2019,21/02/2019
6.58E-05,"Bibile, Monaragala",21/02/2019,22/02/2019
0.000117332,"Bibile, Monaragala",22/02/2019,23/02/2019
0.000137266,"Bibile, Monaragala",23/02/2019,24/02/2019
0.000118359,"Bibile, Monaragala",24/02/2019,25/02/2019
,"Bibile, Monaragala",25/02/2019,26/02/2019
-4.67E-05,"Bibile, Monaragala",26/02/2019,27/02/2019
,"Bibile, Monaragala",27/02/2019,28/02/2019
,"Bibile, Monaragala",28/02/2019,01/03/2019
,"Bibile, Monaragala",01/03/2019,02/03/2019
0.000201522,"Bibile, Monaragala",02/03/2019,03/03/2019
0.000233338,"Bibile, Monaragala",03/03/2019,04/03/2019
0.000113056,"Bibile, Monaragala",04/03/2019,05/03/2019
8.92E-05,"Bibile, Monaragala",05/03/2019,06/03/2019
4.27E-05,"Bibile, Monaragala",06/03/2019,07/03/2019
0.000102154,"Bibile, Monaragala",07/03/2019,08/03/2019
0.000104416,"Bibile, Monaragala",08/03/2019,09/03/2019
,"Bibile, Monaragala",09/03/2019,10/03/2019
0.000105763,"Bibile, Monaragala",10/03/2019,11/03/2019
0.000195469,"Bibile, Monaragala",11/03/2019,12/03/2019
0.000233956,"Bibile, Monaragala",12/03/2019,13/03/2019
,"Bibile, Monaragala",13/03/2019,14/03/2019
5.33E-05,"Bibile, Monaragala",14/03/2019,15/03/2019
0.000123402,"Bibile, Monaragala",15/03/2019,16/03/2019
9.93E-05,"Bibile, Monaragala",16/03/2019,17/03/2019
,"Bibile, Monaragala",17/03/2019,18/03/2019
1.32E-05,"Bibile, Monaragala",18/03/2019,19/03/2019
0.000144978,"Bibile, Monaragala",19/03/2019,20/03/2019
7.63E-05,"Bibile, Monaragala",20/03/2019,21/03/2019
0.000148068,"Bibile, Monaragala",21/03/2019,22/03/2019
4.70E-05,"Bibile, Monaragala",22/03/2019,23/03/2019
-1.55E-05,"Bibile, Monaragala",23/03/2019,24/03/2019
0.00015121,"Bibile, Monaragala",24/03/2019,25/03/2019
7.34E-05,"Bibile, Monaragala",25/03/2019,26/03/2019
8.13E-05,"Bibile, Monaragala",26/03/2019,27/03/2019
9.85E-05,"Bibile, Monaragala",27/03/2019,28/03/2019
0.00013195,"Bibile, Monaragala",28/03/2019,29/03/2019
,"Bibile, Monaragala",29/03/2019,30/03/2019
0.000286011,"Bibile, Monaragala",30/03/2019,31/03/2019
0.000169146,"Bibile, Monaragala",31/03/2019,01/04/2019
0.000231136,"Bibile, Monaragala",01/04/2019,02/04/2019
0.000183951,"Bibile, Monaragala",02/04/2019,03/04/2019
0.000212084,"Bibile, Monaragala",03/04/2019,04/04/2019
2.66E-05,"Bibile, Monaragala",04/04/2019,05/04/2019
8.13E-05,"Bibile, Monaragala",05/04/2019,06/04/2019
0.000132341,"Bibile, Monaragala",06/04/2019,07/04/2019
0.000158433,"Bibile, Monaragala",07/04/2019,08/04/2019
0.000205537,"Bibile, Monaragala",08/04/2019,09/04/2019
0.000265918,"Bibile, Monaragala",09/04/2019,10/04/2019
0.000120946,"Bibile, Monaragala",10/04/2019,11/04/2019
,"Bibile, Monaragala",11/04/2019,12/04/2019
6.73E-05,"Bibile, Monaragala",12/04/2019,13/04/2019
0.000172293,"Bibile, Monaragala",13/04/2019,14/04/2019
,"Bibile, Monaragala",14/04/2019,15/04/2019
,"Bibile, Monaragala",15/04/2019,16/04/2019
,"Bibile, Monaragala",16/04/2019,17/04/2019
,"Bibile, Monaragala",17/04/2019,18/04/2019
-1.76E-05,"Bibile, Monaragala",18/04/2019,19/04/2019
3.05E-05,"Bibile, Monaragala",19/04/2019,20/04/2019
3.94E-05,"Bibile, Monaragala",20/04/2019,21/04/2019
-2.32E-05,"Bibile, Monaragala",21/04/2019,22/04/2019
,"Bibile, Monaragala",22/04/2019,23/04/2019
0.000108735,"Bibile, Monaragala",23/04/2019,24/04/2019
0.000142627,"Bibile, Monaragala",24/04/2019,25/04/2019
,"Bibile, Monaragala",25/04/2019,26/04/2019
,"Bibile, Monaragala",26/04/2019,27/04/2019
,"Bibile, Monaragala",27/04/2019,28/04/2019
0.000250499,"Bibile, Monaragala",28/04/2019,29/04/2019
,"Bibile, Monaragala",29/04/2019,30/04/2019
,"Bibile, Monaragala",30/04/2019,01/05/2019
0.0001447,"Bibile, Monaragala",01/05/2019,02/05/2019
,"Bibile, Monaragala",02/05/2019,03/05/2019
0.000243088,"Bibile, Monaragala",03/05/2019,04/05/2019
0.000166358,"Bibile, Monaragala",04/05/2019,05/05/2019
0.000111798,"Bibile, Monaragala",05/05/2019,06/05/2019
0.000229464,"Bibile, Monaragala",06/05/2019,07/05/2019
0.00031244,"Bibile, Monaragala",07/05/2019,08/05/2019
0.000225006,"Bibile, Monaragala",08/05/2019,09/05/2019
0.000208574,"Bibile, Monaragala",09/05/2019,10/05/2019
0.000257059,"Bibile, Monaragala",10/05/2019,11/05/2019
0.000200489,"Bibile, Monaragala",11/05/2019,12/05/2019
0.000109842,"Bibile, Monaragala",12/05/2019,13/05/2019
0.000212903,"Bibile, Monaragala",13/05/2019,14/05/2019
0.000172008,"Bibile, Monaragala",14/05/2019,15/05/2019
0.000266473,"Bibile, Monaragala",15/05/2019,16/05/2019
0.000201613,"Bibile, Monaragala",16/05/2019,17/05/2019
0.000288404,"Bibile, Monaragala",17/05/2019,18/05/2019
0.000117709,"Bibile, Monaragala",18/05/2019,19/05/2019
0.000116001,"Bibile, Monaragala",19/05/2019,20/05/2019
0.000133688,"Bibile, Monaragala",20/05/2019,21/05/2019
0.0002208,"Bibile, Monaragala",21/05/2019,22/05/2019
-7.23E-05,"Bibile, Monaragala",22/05/2019,23/05/2019
0.000310553,"Bibile, Monaragala",23/05/2019,24/05/2019
,"Bibile, Monaragala",24/05/2019,25/05/2019
0.000174795,"Bibile, Monaragala",25/05/2019,26/05/2019
0.000154869,"Bibile, Monaragala",26/05/2019,27/05/2019
0.000165422,"Bibile, Monaragala",27/05/2019,28/05/2019
0.000198263,"Bibile, Monaragala",28/05/2019,29/05/2019
0.000309133,"Bibile, Monaragala",29/05/2019,30/05/2019
0.000207499,"Bibile, Monaragala",30/05/2019,31/05/2019
0.000201074,"Bibile, Monaragala",31/05/2019,01/06/2019
0.000162086,"Bibile, Monaragala",01/06/2019,02/06/2019
0.00020112,"Bibile, Monaragala",02/06/2019,03/06/2019
0.000251481,"Bibile, Monaragala",03/06/2019,04/06/2019
0.000198097,"Bibile, Monaragala",04/06/2019,05/06/2019
0.000214606,"Bibile, Monaragala",05/06/2019,06/06/2019
0.000193643,"Bibile, Monaragala",06/06/2019,07/06/2019
0.000200757,"Bibile, Monaragala",07/06/2019,08/06/2019
0.000239622,"Bibile, Monaragala",08/06/2019,09/06/2019
0.000206265,"Bibile, Monaragala",09/06/2019,10/06/2019
,"Bibile, Monaragala",10/06/2019,11/06/2019
0.00019934,"Bibile, Monaragala",11/06/2019,12/06/2019
6.05E-05,"Bibile, Monaragala",12/06/2019,13/06/2019
0.000224515,"Bibile, Monaragala",13/06/2019,14/06/2019
0.000124527,"Bibile, Monaragala",14/06/2019,15/06/2019
0.000196376,"Bibile, Monaragala",15/06/2019,16/06/2019
0.000144541,"Bibile, Monaragala",16/06/2019,17/06/2019
9.44E-05,"Bibile, Monaragala",17/06/2019,18/06/2019
0.000152135,"Bibile, Monaragala",18/06/2019,19/06/2019
0.00019724,"Bibile, Monaragala",19/06/2019,20/06/2019
0.000184646,"Bibile, Monaragala",20/06/2019,21/06/2019
0.000125758,"Bibile, Monaragala",21/06/2019,22/06/2019
-3.00E-05,"Bibile, Monaragala",22/06/2019,23/06/2019
0.000191461,"Bibile, Monaragala",23/06/2019,24/06/2019
0.000145723,"Bibile, Monaragala",24/06/2019,25/06/2019
7.37E-05,"Bibile, Monaragala",25/06/2019,26/06/2019
0.000259637,"Bibile, Monaragala",26/06/2019,27/06/2019
0.000177919,"Bibile, Monaragala",27/06/2019,28/06/2019
0.000231226,"Bibile, Monaragala",28/06/2019,29/06/2019
0.000181252,"Bibile, Monaragala",29/06/2019,30/06/2019
0.000188389,"Bibile, Monaragala",30/06/2019,01/07/2019
0.000202334,"Bibile, Monaragala",01/07/2019,02/07/2019
9.12E-05,"Bibile, Monaragala",02/07/2019,03/07/2019
0.000418314,"Bibile, Monaragala",03/07/2019,04/07/2019
0.000175334,"Bibile, Monaragala",04/07/2019,05/07/2019
0.000142026,"Bibile, Monaragala",05/07/2019,06/07/2019
0.000211697,"Bibile, Monaragala",06/07/2019,07/07/2019
0.000198829,"Bibile, Monaragala",07/07/2019,08/07/2019
0.000103062,"Bibile, Monaragala",08/07/2019,09/07/2019
,"Bibile, Monaragala",09/07/2019,10/07/2019
0.00018846,"Bibile, Monaragala",10/07/2019,11/07/2019
0.000197578,"Bibile, Monaragala",11/07/2019,12/07/2019
0.000159466,"Bibile, Monaragala",12/07/2019,13/07/2019
0.000197648,"Bibile, Monaragala",13/07/2019,14/07/2019
0.000336221,"Bibile, Monaragala",14/07/2019,15/07/2019
,"Bibile, Monaragala",15/07/2019,16/07/2019
0.000111661,"Bibile, Monaragala",16/07/2019,17/07/2019
9.44E-05,"Bibile, Monaragala",17/07/2019,18/07/2019
5.30E-05,"Bibile, Monaragala",18/07/2019,19/07/2019
6.85E-05,"Bibile, Monaragala",19/07/2019,20/07/2019
,"Bibile, Monaragala",20/07/2019,21/07/2019
0.000291824,"Bibile, Monaragala",21/07/2019,22/07/2019
,"Bibile, Monaragala",22/07/2019,23/07/2019
0.000142158,"Bibile, Monaragala",23/07/2019,24/07/2019
0.000137141,"Bibile, Monaragala",24/07/2019,25/07/2019
7.95E-05,"Bibile, Monaragala",25/07/2019,26/07/2019
0.000260669,"Bibile, Monaragala",26/07/2019,27/07/2019
0.000282386,"Bibile, Monaragala",27/07/2019,28/07/2019
0.000214071,"Bibile, Monaragala",28/07/2019,29/07/2019
0.000290269,"Bibile, Monaragala",29/07/2019,30/07/2019
0.000169066,"Bibile, Monaragala",30/07/2019,31/07/2019
0.000175523,"Bibile, Monaragala",31/07/2019,01/08/2019
0.000133434,"Bibile, Monaragala",01/08/2019,02/08/2019
0.000171039,"Bibile, Monaragala",02/08/2019,03/08/2019
0.000277048,"Bibile, Monaragala",03/08/2019,04/08/2019
-5.85E-05,"Bibile, Monaragala",04/08/2019,05/08/2019
0.000154368,"Bibile, Monaragala",05/08/2019,06/08/2019
0.000138117,"Bibile, Monaragala",06/08/2019,07/08/2019
0.000410551,"Bibile, Monaragala",07/08/2019,08/08/2019
,"Bibile, Monaragala",08/08/2019,09/08/2019
0.000232358,"Bibile, Monaragala",09/08/2019,10/08/2019
,"Bibile, Monaragala",10/08/2019,11/08/2019
0.000164872,"Bibile, Monaragala",11/08/2019,12/08/2019
0.000169757,"Bibile, Monaragala",12/08/2019,13/08/2019
,"Bibile, Monaragala",13/08/2019,14/08/2019
0.000161711,"Bibile, Monaragala",14/08/2019,15/08/2019
8.13E-05,"Bibile, Monaragala",15/08/2019,16/08/2019
,"Bibile, Monaragala",16/08/2019,17/08/2019
,"Bibile, Monaragala",17/08/2019,18/08/2019
9.69E-05,"Bibile, Monaragala",18/08/2019,19/08/2019
0.000123144,"Bibile, Monaragala",19/08/2019,20/08/2019
